,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
15,1066,83.5,-22.5,-55,10,-9.5,43,2550,153.9305422,3,0,31,17.3
88,1046,84,50.5,0,73,56.7,66,1166,161.6270693,26,26,23,29.7
79,1042,84.5,41.5,41.5,-9,16.25,69,2550,165,29,55,3,24.4
37,1024,85,-0.5,0,-42,-21.2,56,954,165,16,71,-13,10.2
34,1028,85.5,-3.5,0,-3,-2.9,11,1111,165,-29,0,-45,-39.9
75,1001,86,37.5,0,41,35.5,4,1054,165,-36,-36,-7,-28.7
74,998,86.5,36.5,36.5,-1,17.75,29,1046,165,-11,-47,25,1.2
30,979,87,-7.5,0,-44,-25,63,2550,165,23,0,34,30.8
26,2550,87.5,-11.5,-11.5,-4,-7.75,69,1012,165,29,29,6,23.3
79,1906,88,41.5,0,53,43.1,47,972,165,7,0,-22,-6.8
78,960,88.5,40.5,40.5,-1,19.75,16,984,165,-24,0,-31,-29.9
70,2550,89,32.5,73,-8,16.3,17,1054,165,-23,-23,1,-15.6
59,2550,89.5,21.5,94.5,-11,12.55,65,982,165,25,0,48,39
56,2550,90,18.5,113,-3,17.2,66,1024,165,26,26,1,18.7
63,2550,90.5,25.5,138.5,7,27.55,25,899,165,-15,0,-41,-29.5
52,2550,91,14.5,153,-11,15.6,8,921,165,-32,-32,-17,-30.9
25,2550,91.5,-12.5,0,-27,-18.5,37,2409,165,-3,0,29,12.7
53,871,92,15.5,0,28,20.2,73,937,165,33,0,36,37.8
78,856,92.5,40.5,40.5,25,32.75,57,842,165,17,17,-16,3.9
78,864,93,40.5,81,0,24.3,8,840,165,-32,0,-49,-43.7
77,1152,93.5,39.5,120.5,-1,27.35,5,818,165,-35,-35,-3,-26
66,2550,94,28.5,149,-11,20.8,51,782,165,11,0,46,29.6
45,2550,94.5,7.5,0,-21,-7.5,65,2550,165,25,25,14,24.5
58,2550,95,20.5,20.5,13,16.75,61,780,165,21,46,-4,15.2
76,2550,95.5,38.5,59,18,30.3,43,765,165,3,0,-18,-7.2
69,2550,96,31.5,90.5,-7,18.15,18,757,165,-22,0,-25,-25.7
20,2550,96.5,-17.5,0,-49,-31.5,18,757,165,-22,-22,0,-15.4
11,2494,97,-26.5,-26.5,-9,-17.75,63,748,165,23,0,45,36.3
75,2473,97.5,37.5,0,64,47,72,1679,165,32,32,9,26.9
77,2457,98,39.5,39.5,2,20.75,50,734,165,10,42,-22,-0.8
55,2456,98.5,17.5,57,-22,1.7,7,750,165,-33,0,-43,-41.3
30,2443,99,-7.5,0,-25,-15.5,7,728,165,-33,-33,0,-23.1
40,2430,99.5,2.5,0,10,6,77,728,165,37,0,70,57.2
69,2416,100,31.5,31.5,29,30.25,71,2550,165,31,31,-6,18.7
59,2405,100.5,21.5,53,-10,8.9,64,2550,165,24,55,-7,16.4
