,,,,,,,,,,,,,
,,,,,,,,,,,,,
 Veh 1 Color, Veh 1 Speed, Veh 1 Distance, Veh 1 Deviation, Veh 1 Integral, Veh 1 Derivative, Veh 1 Angle, Veh 2 Color, Veh 2 Speed, Veh 2 Distance, Veh 2 Deviation, Veh 2 Integral, Veh 2 Derivative, Veh 2 Angle
40,95,1974,2.5,0,-4,-1,38,90,322,-2,0,-2,-2.2
36,95.5,1961,-1.5,0,-4,-2.6,50,90,326,10,0,12,12
37,96,1936,-0.5,0,1,0.3,36,90,322,-4,0,-14,-9.4
27,96.5,1938,-10.5,-10.5,-10,-10.25,40,90,321,0,0,4,2
50,97,1902,12.5,0,23,16.5,45,90,320,5,0,5,5.5
46,97.5,1890,8.5,0,-4,1.4,38,90,308,-2,0,-7,-4.7
21,98,1858,-16.5,0,-25,-19.1,39,90,302,-1,0,1,-0.1
46,98.5,1856,8.5,0,25,15.9,44,90,302,4,0,5,4.9
57,99,1829,19.5,19.5,11,15.25,39,90,308,-1,0,-5,-3.1
31,99.5,1815,-6.5,0,-26,-15.6,42,90,321,2,0,3,2.7
24,100,1794,-13.5,-13.5,-7,-10.25,42,90,303,2,0,0,1.2
43,100.5,1777,5.5,0,19,11.7,39,90,321,-1,0,-3,-2.1
42,101,1762,4.5,0,-1,1.3,37,90,322,-3,0,-2,-2.8
35,101.5,1744,-2.5,0,-7,-4.5,48,90,326,8,0,11,10.3
34,102,1726,-3.5,0,-1,-1.9,31,90,321,-9,0,-17,-13.9
41,102.5,1708,3.5,0,7,4.9,39,90,321,-1,0,8,3.4
38,103,1692,0.5,0,-3,-1.3,42,90,321,2,0,3,2.7
35,103.5,1670,-2.5,0,-3,-2.5,39,90,321,-1,0,-3,-2.1
40,104,1650,2.5,0,5,3.5,39,90,321,-1,0,0,-0.6
46,104.5,1633,8.5,0,6,6.4,42,90,326,2,0,3,2.7
37,105,1615,-0.5,0,-9,-4.7,42,90,321,2,0,0,1.2
36,105.5,1593,-1.5,0,-1,-1.1,39,90,326,-1,0,-3,-2.1
37,106,1579,-0.5,0,1,0.3,38,90,321,-2,0,-1,-1.7
38,106.5,1563,0.5,0,1,0.7,38,90,326,-2,0,0,-1.2
39,107,1547,1.5,0,1,1.1,43,90,328,3,0,5,4.3
33,107.5,1528,-4.5,0,-6,-4.8,40,94.5,347,0,0,-3,-1.5
37,108,1517,-0.5,0,4,1.8,43,90,321,3,0,3,3.3
51,108.5,1517,13.5,0,14,12.4,31,94.5,338,-9,0,-12,-11.4
57,109,1517,19.5,19.5,6,12.75,36,90,330,-4,0,5,0.1
60,109.5,1517,22.5,42,3,14.7,43,94.5,340,3,0,7,5.3
58,110,1517,20.5,62.5,-2,13.45,42,99.225,336,2,0,-1,0.7
60,110.5,1407,22.5,85,2,18.5,43,104.18625,340,3,0,1,2.3
62,111,1395,24.5,109.5,2,21.75,42,109.3955625,338,2,0,-1,0.7
64,111.5,1372,26.5,136,2,25.2,41,114.8653406,338,1,0,-1,0.1
66,112,1360,28.5,164.5,2,28.85,41,120.6086077,336,1,0,0,0.6
67,112.5,1343,29.5,194,1,31.7,43,90,328,3,0,2,2.8
68,113,1345,30.5,224.5,1,35.15,42,94.5,340,2,0,-1,0.7
61,113.5,1360,23.5,248,-7,30.7,44,99.225,353,4,0,2,3.4
22,114,2550,-15.5,0,-39,-25.7,46,90,328,6,0,2,4.6
25,114.5,2550,-12.5,-12.5,3,-4.75,24,94.5,353,-16,0,-22,-20.6
55,115,2550,17.5,0,30,22,54,99.225,353,14,0,30,23.4
57,115.5,2550,19.5,19.5,2,10.75,30,104.18625,355,-10,0,-24,-18
47,116,2550,9.5,0,-10,-1.2,55,109.3955625,372,15,0,25,21.5
52,116.5,2550,14.5,14.5,5,9.75,27,114.8653406,364,-13,0,-28,-21.8
58,117,2550,20.5,35,6,14.7,45,120.6086077,370,5,0,18,12
58,117.5,2550,20.5,55.5,0,13.75,37,126.639038,366,-3,0,-8,-5.8
57,118,2550,19.5,75,-1,14.8,38,132.9709899,392,-2,0,1,-0.7
57,118.5,2550,19.5,94.5,0,17.25,44,139.6195394,336,4,0,6,5.4
55,119,2550,17.5,112,-2,17.2,41,146.6005164,355,1,0,-3,-0.9
54,119.5,2550,16.5,128.5,-1,18.95,36,153.9305422,336,-4,0,-5,-4.9
56,120,2550,18.5,147,2,23.1,39,90,328,-1,0,3,0.9
60,120.5,2550,22.5,169.5,4,27.95,50,90,326,10,0,11,11.5
57,121,2550,19.5,189,-3,25.2,40,90,326,0,0,-10,-5
64,121.5,2550,26.5,215.5,7,35.65,35,94.5,338,-5,0,-5,-5.5
66,122,2550,28.5,244,2,36.8,40,99.225,336,0,0,5,2.5
67,122.5,2550,29.5,273.5,1,39.65,44,104.18625,340,4,0,4,4.4
27,123,2550,-10.5,0,-40,-24.2,39,109.3955625,443,-1,0,-5,-3.1
5,123.5,2550,-32.5,-32.5,-22,-27.25,39,114.8653406,443,-1,0,0,-0.6
19,124,2550,-18.5,-51,14,-5.5,43,120.6086077,383,3,0,4,3.8
47,90,326,9.5,0,28,17.8,37,126.639038,382,-3,0,-6,-4.8
30,90.5,2550,-7.5,0,-17,-11.5,51,132.9709899,382,11,0,14,13.6
19,91,2550,-18.5,-18.5,-11,-14.75,62,139.6195394,403,22,22,11,20.9
33,91.5,2550,-4.5,0,14,5.2,63,146.6005164,403,23,45,1,18.8
39,92,2550,1.5,0,6,3.6,66,153.9305422,397,26,71,3,24.2
38,92.5,2550,0.5,0,-1,-0.3,70,161.6270693,410,30,101,4,30.1
36,93,2550,-1.5,0,-2,-1.6,73,90,420,33,134,3,34.7
40,93.5,2550,2.5,0,4,3,75,90,420,35,169,2,38.9
40,94,2550,2.5,0,0,1,59,90,1363,19,188,-16,22.2
42,94.5,2550,4.5,0,2,2.8,50,90,340,10,198,-9,21.3
41,95,2550,3.5,0,-1,0.9,13,90,376,-27,0,-37,-34.7
43,95.5,2550,5.5,0,2,3.2,62,94.5,374,22,0,49,37.7
38,96,2550,0.5,0,-5,-2.3,75,90,326,35,35,13,31
33,96.5,2550,-4.5,0,-5,-4.3,39,94.5,370,-1,0,-36,-18.6
35,97,2550,-2.5,0,2,0,47,99.225,374,7,0,8,8.2
33,97.5,2550,-4.5,0,-2,-2.8,61,104.18625,370,21,21,14,21.7
53,98,2550,15.5,0,20,16.2,55,109.3955625,2550,15,36,-6,9.6
41,98.5,2550,3.5,0,-12,-4.6,54,114.8653406,2550,14,50,-1,12.9
22,99,2550,-15.5,0,-19,-15.7,51,120.6086077,370,11,61,-3,11.2
38,99.5,2550,0.5,0,16,8.2,62,126.639038,2550,22,83,11,27
45,100,2550,7.5,0,7,6.5,59,132.9709899,357,19,102,-3,20.1
30,100.5,2550,-7.5,0,-15,-10.5,53,90,336,13,115,-6,16.3
31,101,2550,-6.5,0,1,-2.1,47,90,357,7,0,-6,1.2
38,101.5,2550,0.5,0,7,3.7,53,90,329,13,13,6,12.1
38,102,2550,0.5,0,0,0.2,61,94.5,347,21,34,8,20
31,102.5,2550,-6.5,0,-7,-6.1,57,99.225,353,17,51,-4,13.3
40,103,2550,2.5,0,9,5.5,63,104.18625,336,23,74,6,24.2
42,103.5,2550,4.5,0,2,2.8,62,90,330,22,96,-1,22.3
32,104,2550,-5.5,0,-10,-7.2,59,90,324,19,115,-3,21.4
37,104.5,2550,-0.5,0,5,2.3,39,90,321,-1,0,-20,-10.6
47,105,2550,9.5,0,10,8.8,59,90,326,19,0,20,21.4
43,105.5,2550,5.5,0,-4,0.2,66,90,321,26,26,7,21.7
31,106,2550,-6.5,0,-12,-8.6,24,90,321,-16,0,-42,-30.6
38,106.5,2550,0.5,0,7,3.7,56,90,326,16,0,32,25.6
